着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,4,7,ウインマイティー,54,和田竜二,1:58.3,,3-3-3-3,34.9,14.6,10,484(+4),[西] 五十嵐忠,ウイン,"3,856.7",第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017101415,牝,5
2,6,12,マリアエレーナ,55,坂井瑠星,1:58.6,1.3/4,5-5-5-5,35.0,8.5,4,426(+2),[西] 吉田直弘,金子真人ホールディングス,"1,516.2",第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018100927,牝,4
3,2,3,ソフトフルート,54,川田将雅,1:58.6,クビ,14-14-11-8,34.7,6.2,1,484(-4),[西] 斉藤崇史,ゴドルフィン,958.1,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017106583,牝,5
4,8,16,リアアメリア,55.5,幸英明,1:58.7,1/2,2-2-2-2,35.5,39.3,13,498(+6),[西] 中内田充,シルクレーシング,570.0,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105613,牝,5
5,2,4,ステイブルアスク,51,藤岡康太,1:58.7,ハナ,15-15-14-12,34.6,6.8,3,430(-6),[西] 矢作芳人,廣崎利洋ＨＤ,380.0,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018104366,牝,4
6,1,2,ゴルトベルク,53,荻野極,1:59.3,3.1/2,6-6-5-6,35.6,53.7,15,440(+8),[東] 手塚貴久,サンデーレーシング,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105307,牝,5
7,5,9,ルビーカサブランカ,55,岩田望来,1:59.4,クビ,11-11-11-12,35.4,9.1,5,476(+2),[西] 須貝尚介,金子真人ホールディングス,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105582,牝,5
8,7,13,ハギノリュクス,52,藤懸貴志,1:59.5,3/4,1-1-1-1,36.3,41.6,14,474(+4),[西] 高野友和,日隈良江,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017101819,牝,5
9,3,6,ヴェルトハイム,51,西村淳也,1:59.6,1/2,16-16-16-12,35.4,9.3,6,470(-4),[西] 友道康夫,ロードホースクラブ,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018102608,牝,4
10,1,1,スルーセブンシーズ,52,秋山真一,1:59.6,クビ,12-12-14-12,35.3,6.7,2,446(-6),[東] 尾関知人,キャロットファーム,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018105269,牝,4
11,5,10,アイコンテーラー,53,亀田温心,1:59.7,クビ,6-6-7-10,35.9,13.9,9,470(+4),[西] 河内洋,中西浩一,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018104240,牝,4
12,6,11,クラヴェル,55,北村友一,1:59.8,3/4,13-13-11-10,35.8,12.0,8,450(-2),[西] 安田翔伍,キャロットファーム,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105438,牝,5
13,7,14,ラヴユーライヴ,53,川須栄彦,2:00.0,1,3-3-3-3,36.6,37.0,12,442(-2),[西] 矢作芳人,吉田勝己,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105600,牝,5
14,4,8,キムケンドリーム,52,小沢大仁,2:00.0,クビ,6-8-8-12,36.1,79.3,16,460(+4),[西] 西村真幸,木村永浩,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017105937,牝,5
15,3,5,トウシンモンブラン,51,高倉稜,2:00.0,アタマ,9-9-10-8,36.1,9.7,7,480(-6),[西] 杉山晴紀,サトー,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2018104092,牝,4
16,8,15,ホウオウエミーズ,53,松山弘平,2:00.0,ハナ,9-9-8-6,36.3,32.4,11,452(0),[東] 池上昌和,小笹芳央,,第27回マーメイドステークス(G3),202209030211,阪神,2000,右, 良 , 晴 ,2017104691,牝,5
