着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,4,メイショウミモザ,54,鮫島克駿,1:32.8,,6-6,33.7,68.7,9,[西] 池添兼雄,松本好雄,"5,585.4",第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017106414,牝,5,456,0
2,2,2,アンドヴァラナウト,55,福永祐一,1:32.9,1/2,3-2,34.2,3.1,1,[西] 池添学,サンデーレーシング,"2,224.4",第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2018105020,牝,4,444,-4
3,3,3,デゼル,55,川田将雅,1:33.0,クビ,8-8,33.7,3.4,2,[西] 友道康夫,社台レースホース,"1,412.2",第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017104637,牝,5,484,-4
4,5,6,ムジカ,54,池添謙一,1:33.2,1.1/2,6-6,34.2,30.9,8,[西] 鈴木孝志,ケーエスＨＤ,830.0,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017104141,牝,5,452,-2
5,8,12,マジックキャッスル,54,浜中俊,1:33.2,アタマ,10-9,33.6,5.5,4,[東] 国枝栄,社台レースホース,550.0,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017104804,牝,5,442,-10
6,7,9,ジェラルディーナ,54,幸英明,1:33.2,ハナ,11-11,33.4,4.0,3,[西] 斉藤崇史,サンデーレーシング,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2018105081,牝,4,450,-4
7,7,10,クリスティ,54,松若風馬,1:33.3,クビ,1-1,35.2,18.3,6,[西] 杉山晴紀,薪浦英稔,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017102822,牝,5,488,-6
8,6,8,ラルナブリラーレ,54,和田竜二,1:33.4,1,3-4,34.6,17.3,5,[西] 石坂公一,社台レースホース,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017104771,牝,5,478,-4
9,6,7,テーオーラフィット,54,岩田望来,1:33.5,1/2,3-4,34.6,28.9,7,[西] 上村洋行,小笹公也,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2018101189,牝,4,482,+2
10,1,1,ローレルアイリス,54,川又賢治,1:33.8,1.1/2,9-9,34.3,99.2,11,[西] 杉山佳明,ローレルレーシング,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2017101741,牝,5,444,+2
11,8,11,クリノフラッシュ,54,藤岡佑介,1:34.7,5,2-2,36.0,97.2,10,[西] 橋田満,栗本博晴,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2015101447,牝,7,456,+7
除,5,5,アカイトリノムスメ,56,戸崎圭太,,,,,---,,[東] 国枝栄,金子真人ホールディングス,,第65回サンスポ杯阪神牝馬S(G2),202209020511,阪神,1600,右,良,晴,2018104903,牝,4,454,+2
